time,entry_price,exit_price
2026-04-17T11:00:00,75589.7,
2026-04-17T15:00:00,75589.7,77785.02
2026-04-17T23:00:00,77072.0,
2026-04-18T03:00:00,77072.0,77005.47
2026-04-18T04:00:00,77100.74,
2026-04-18T12:00:00,77100.74,76206.97
2026-04-18T13:00:00,76122.87,
2026-04-19T00:00:00,76122.87,75693.01
